date,vix,fx,inflation_us_mom,inflation_eu_mom,spread_rates,log_return,ret_lag1,ret_lag2,vix_change
1999-01-07,24.37,1.1672,0.18248175182480342,0.052356020942401216,0.5300000000000002,0.0030890705875293335,-0.010600201837525641,-0.004412021411195501,0.04413024850042846
1999-01-08,23.28,1.1554,0.18248175182480342,0.052356020942401216,0.7800000000000002,-0.01016111386141079,0.0030890705875293335,-0.010600201837525641,-0.0447271235125154
1999-01-11,25.46,1.1534,0.18248175182480342,0.052356020942401216,1.21,-0.001732502165852968,-0.01016111386141079,0.0030890705875293335,0.09364261168384869
1999-01-12,28.1,1.1548,0.18248175182480342,0.052356020942401216,0.8200000000000003,0.0012130666074677654,-0.001732502165852968,-0.01016111386141079,0.10369206598586023
1999-01-13,30.11,1.1698,0.18248175182480342,0.052356020942401216,0.6600000000000001,0.012905625220145276,0.0012130666074677654,-0.001732502165852968,0.07153024911032024
1999-01-14,32.98,1.1689,0.18248175182480342,0.052356020942401216,0.8600000000000003,-0.0007696583952006925,0.012905625220145276,0.0012130666074677654,0.09531717037529042
1999-01-15,29.24,1.1591,0.18248175182480342,0.052356020942401216,0.7199999999999998,-0.008419293719025294,-0.0007696583952006925,0.012905625220145276,-0.11340206185567003
1999-01-19,29.24,1.161,0.18248175182480342,0.052356020942401216,0.5899999999999999,0.0016378608031922528,-0.008419293719025294,-0.0007696583952006925,0.0
1999-01-20,28.6,1.1575,0.18248175182480342,0.052356020942401216,0.4500000000000002,-0.0030191957375024134,0.0016378608031922528,-0.008419293719025294,-0.02188782489740071
1999-01-21,30.92,1.1577,0.18248175182480342,0.052356020942401216,0.40000000000000036,0.0001727712512937132,-0.0030191957375024134,0.0016378608031922528,0.08111888111888121
1999-01-22,31.95,1.1582,0.18248175182480342,0.052356020942401216,0.6600000000000001,0.0004317975800066656,0.0001727712512937132,-0.0030191957375024134,0.0333117723156533
1999-01-25,31.13,1.1566,0.18248175182480342,0.052356020942401216,1.0099999999999998,-0.0013824090675713455,0.0004317975800066656,0.0001727712512937132,-0.025665101721439765
1999-01-26,29.23,1.1577,0.18248175182480342,0.052356020942401216,0.8799999999999999,0.0009506114875646722,-0.0013824090675713455,0.0004317975800066656,-0.06103437198843553
1999-01-27,29.73,1.1481,0.18248175182480342,0.052356020942401216,0.6500000000000004,-0.008326876111916558,0.0009506114875646722,-0.0013824090675713455,0.017105713308245063
1999-01-28,28.11,1.1395,0.18248175182480342,0.052356020942401216,0.8399999999999999,-0.007518832414027228,-0.008326876111916558,0.0009506114875646722,-0.0544904137235116
1999-01-29,26.25,1.1371,0.18248175182480342,0.052356020942401216,0.8300000000000001,-0.002108408055061762,-0.007518832414027228,-0.008326876111916558,-0.06616862326574169
1999-02-01,27.67,1.1303,0.0,-0.06977149834292984,1.0500000000000003,-0.005998077433991655,-0.002108408055061762,-0.007518832414027228,0.054095238095238196
1999-02-02,28.16,1.1328,0.0,-0.06977149834292984,0.7499999999999996,0.0022093597427698037,-0.005998077433991655,-0.002108408055061762,0.017708709794000743
1999-02-03,27.88,1.1339,0.0,-0.06977149834292984,0.8400000000000003,0.0009705740383387371,0.0022093597427698037,-0.005998077433991655,-0.009943181818181879
1999-02-04,29.48,1.1306,0.0,-0.06977149834292984,1.0699999999999998,-0.0029145527366036027,0.0009705740383387371,0.0022093597427698037,0.057388809182209455
1999-02-05,29.67,1.1283,0.0,-0.06977149834292984,0.9499999999999997,-0.0020363900967900537,-0.0029145527366036027,0.0009705740383387371,0.006445047489823663
1999-02-08,30.27,1.1296,0.0,-0.06977149834292984,1.0399999999999996,0.0011515125945770984,-0.0020363900967900537,-0.0029145527366036027,0.020222446916076775
1999-02-09,31.36,1.13,0.0,-0.06977149834292984,0.9200000000000004,0.00035404496740864226,0.0011515125945770984,-0.0020363900967900537,0.03600925008258993
1999-02-10,30.45,1.1331,0.0,-0.06977149834292984,0.8500000000000001,0.0027396066801347032,0.00035404496740864226,0.0011515125945770984,-0.029017857142857095
1999-02-11,27.42,1.1303,0.0,-0.06977149834292984,0.9200000000000004,-0.0024741551898353675,0.0027396066801347032,0.00035404496740864226,-0.09950738916256152
1999-02-12,29.76,1.1282,0.0,-0.06977149834292984,0.8699999999999997,-0.0018596418908097272,-0.0024741551898353675,0.0027396066801347032,0.08533916849015322
1999-02-16,29.65,1.1189,0.0,-0.06977149834292984,1.2799999999999998,-0.008277382492200336,-0.0018596418908097272,-0.0024741551898353675,-0.003696236559139865
1999-02-17,30.65,1.123,0.0,-0.06977149834292984,0.9200000000000004,0.0036576159247677345,-0.008277382492200336,-0.0018596418908097272,0.033726812816188945
1999-02-18,30.45,1.1223,0.0,-0.06977149834292984,0.8999999999999999,-0.0006235247162329645,0.0036576159247677345,-0.008277382492200336,-0.006525285481239762
1999-02-19,29.3,1.1075,0.0,-0.06977149834292984,0.9099999999999997,-0.013274928102919577,-0.0006235247162329645,0.0036576159247677345,-0.0377668308702791
1999-02-22,25.87,1.1037,0.0,-0.06977149834292984,0.9700000000000002,-0.003437051140452382,-0.013274928102919577,-0.0006235247162329645,-0.11706484641638226
1999-02-23,26.49,1.0993,0.0,-0.06977149834292984,0.9200000000000004,-0.003994558194020282,-0.003437051140452382,-0.013274928102919577,0.023965983764978604
1999-02-24,27.21,1.0972,0.0,-0.06977149834292984,1.0699999999999998,-0.0019121335213698916,-0.003994558194020282,-0.003437051140452382,0.027180067950169917
1999-02-25,28.01,1.1068,0.0,-0.06977149834292984,1.0799999999999996,0.008711488849322662,-0.0019121335213698916,-0.003994558194020282,0.029400955531054818
